timestamp,id_client,code,event,place
5.2977448,98,Code05,finishprocess,S6M2
5.2977448,112,Code05,startprocess,S6M2
5.2977448,98,Code05,enterqueue,S8
5.3224599999999995,9,Code01,finishprocess,S3M1
5.3224599999999995,12,Code01,startprocess,S3M1
5.3224599999999995,9,Code01,enterqueue,S4
5.3224599999999995,9,Code01,startprocess,S4M3
5.592399,4,Code03,finishprocess,S2M3
5.592399,30,Code01,startprocess,S2M3
5.592399,4,Code03,enterqueue,S7
5.592399,63,Code01,systemarrival,System
5.592399,63,Code01,enterqueue,S2
5.6038362,57,Code05,finishprocess,S8M3
5.6038362,83,Code05,startprocess,S8M3
5.6038362,57,Code05,enterqueue,S7
5.6193472,17,Code02,finishprocess,S1M1
5.6193472,25,Code03,startprocess,S1M1
5.6193472,17,Code02,enterqueue,S5
5.6193472,17,Code02,startprocess,S5M1
5.6193472,41,Code02,systemarrival,System
5.6193472,41,Code02,enterqueue,S1
5.769372000000001,11,Code01,finishprocess,S3M2
5.769372000000001,13,Code01,startprocess,S3M2
5.769372000000001,11,Code01,enterqueue,S4
6.0653914,22,Code04,finishprocess,S2M2
6.0653914,35,Code01,startprocess,S2M2
6.0653914,22,Code04,enterqueue,S3
6.0653914,65,Code01,systemarrival,System
6.0653914,65,Code01,enterqueue,S2
6.0735096,18,Code02,finishprocess,S1M2
6.0735096,26,Code02,startprocess,S1M2
6.0735096,18,Code02,enterqueue,S5
6.0735096,18,Code02,startprocess,S5M2
6.0735096,44,Code02,systemarrival,System
6.0735096,44,Code02,enterqueue,S1
6.073709600000001,20,Code02,finishprocess,S1M3
6.073709600000001,31,Code03,startprocess,S1M3
6.073709600000001,20,Code02,enterqueue,S5
6.073709600000001,20,Code02,startprocess,S5M3
6.073709600000001,47,Code03,systemarrival,System
6.073709600000001,47,Code03,enterqueue,S1
6.0742096000000005,24,Code02,finishprocess,S1M4
6.0742096000000005,34,Code03,startprocess,S1M4
6.0742096000000005,24,Code02,enterqueue,S5
6.0742096000000005,49,Code02,systemarrival,System
6.0742096000000005,49,Code02,enterqueue,S1
6.2410184,3,Code05,finishprocess,S7M1
6.2410184,3,Code05,systemexit,System
6.2410184,4,Code03,startprocess,S7M1
6.241218399999999,5,Code05,finishprocess,S7M2
6.241218399999999,5,Code05,systemexit,System
6.241218399999999,57,Code05,startprocess,S7M2
6.4656366,6,Code01,finishprocess,S4M1
6.4656366,11,Code01,startprocess,S4M1
6.4656366,6,Code01,enterqueue,S7
6.498769000000001,101,Code05,finishprocess,S6M1
6.498769000000001,101,Code05,enterqueue,S8
6.498969000000001,112,Code05,finishprocess,S6M2
6.498969000000001,112,Code05,enterqueue,S8
6.541321999999999,12,Code01,finishprocess,S3M1
6.541321999999999,14,Code01,startprocess,S3M1
6.541321999999999,12,Code01,enterqueue,S4
6.663196,19,Code01,finishprocess,S2M1
6.663196,8,Code02,startprocess,S2M1
6.663196,19,Code01,enterqueue,S3
6.663196,69,Code10,systemarrival,System
6.663196,69,Code10,enterqueue,S2
6.9333054,17,Code02,finishprocess,S5M1
6.9333054,24,Code02,startprocess,S5M1
6.9333054,17,Code02,enterqueue,S2
6.988234,13,Code01,finishprocess,S3M2
6.988234,22,Code04,startprocess,S3M2
6.988234,13,Code01,enterqueue,S4
7.073825,1,Code01,finishprocess,S7M3
7.073825,6,Code01,startprocess,S7M3
7.073825,1,Code01,enterqueue,S8
7.073925,2,Code01,finishprocess,S7M4
7.073925,2,Code01,enterqueue,S8
7.1113518,59,Code05,finishprocess,S8M1
