client_code,station,waiting_time
Code02,S2,2.481471200000003
Code02,S2,2.2913880000000013
Code03,S2,2.186157200000004
Code01,S2,2.1151745999999996
Code01,S2,1.6318340000000013
Code04,S2,1.7854767999999979
Code01,S2,2.5885669999999976
Code02,S2,2.6311879999999945
Code02,S2,2.335240599999999
Code02,S2,3.5093741999999963
Code01,S2,2.9216923999999977
Code03,S2,2.930350999999998
Code03,S2,3.181781000000001
Code02,S2,2.8057468000000014
Code02,S2,1.9937169999999966
Code01,S2,1.665773999999999
Code10,S2,2.709651600000001
Code04,S2,2.211769599999993
Code01,S2,2.0954943999999927
Code01,S2,2.5885669999999976
Code02,S2,2.6914844
Code02,S2,3.530260399999989
Code02,S2,3.776880999999989
Code02,S2,2.8982237999999967
Code10,S2,2.596803999999999
Code01,S2,2.9495411999999916
Code02,S2,2.6965247999999917
Code02,S2,3.4159979999999877
Code02,S2,3.8737753999999924
Code03,S2,3.0018105999999882
Code02,S2,3.5505635999999825
Code03,S2,3.3250143999999864
Code03,S2,3.3543135999999834
Code08,S2,2.805158599999988
Code02,S2,3.0892947999999762
Code03,S2,1.737383399999981
Code04,S2,1.8381814000000034
Code04,S2,1.4485237999999967
Code02,S2,2.027799999999978
Code02,S2,1.8807521999999892
Code01,S2,1.662346399999997
Code06,S2,2.3921677999999886
Code02,S2,2.4309385999999833
Code01,S2,2.066992599999999
Code03,S2,2.130894999999974
Code01,S2,2.4736123999999933
Code02,S2,2.2292395999999854
Code02,S2,2.3809647999999726
Code10,S2,2.4736123999999933
Code04,S2,2.4781380000000084
Code02,S2,2.930951199999974
Code03,S2,3.094309999999979
Code01,S2,2.209233199999993
Code02,S2,2.3759287999999827
Code02,S2,2.386005199999971
Code01,S2,2.3543095999999935
Code02,S2,2.582668199999979
Code03,S2,2.637868599999969
Code01,S2,2.4684979999999896
Code01,S2,2.499385999999994
Code02,S2,2.3809691999999814
Code02,S2,3.4727459999999652
Code09,S2,2.6444623999999948
Code02,S2,2.587708599999978
Code01,S2,2.293377200000002
Code01,S2,2.6135743999999903
Code01,S2,1.9485184000000046
Code04,S2,2.293377200000002
Code04,S2,2.758650799999991
Code03,S2,2.8934647999999683
Code02,S2,2.9417837999999605
Code08,S2,3.301806199999966
Code02,S2,2.4893851999999725
Code02,S2,3.200349999999972
Code02,S2,3.0452341999999604
Code02,S2,2.4153039999999635
Code02,S2,3.2319443999999606
Code01,S2,2.5325121999999993
Code02,S2,2.3610289999999665
Code01,S2,3.0213660000000004
Code01,S2,2.6775886
Code02,S2,2.8458137999999664
Code02,S2,3.7046301999999685
Code09,S2,2.8226650000000006
Code02,S2,2.7745077999999594
Code08,S2,3.0800917999999697
Code01,S2,2.657559400000004
Code02,S2,2.803490599999968
Code03,S2,2.481699399999954
Code03,S2,2.512098599999966
Code02,S2,2.8704987999999574
Code02,S2,2.8459381999999636
Code02,S2,2.7926381999999847
Code03,S2,3.598332199999959
